name;network;lat;lon;call_name;location;geometry;assumed_import_frequency;dataset_resolution
vlinder01;Vlinder;50.980438;3.815763;Proefhoeve;Melle;POINT (3.815763 50.980438);0 days 00:05:00;0 days 00:05:00
vlinder02;Vlinder;51.022379;3.709695;Sterre;Gent;POINT (3.709695 51.022379);0 days 00:05:00;0 days 00:05:00
vlinder03;Vlinder;51.324583;4.952109;Centrum;Turnhout;POINT (4.952109 51.324583);0 days 00:05:00;0 days 00:05:00
vlinder04;Vlinder;51.335522;4.934732;Stadsboerderij;Turnhout;POINT (4.934732 51.335522);0 days 00:05:00;0 days 00:05:00
vlinder05;Vlinder;51.052655;3.675183;Watersportbaan;Gent;POINT (3.675183 51.052655);0 days 00:05:00;0 days 00:05:00
vlinder06;Vlinder;51.0271;4.5163;Mechels Broek;Bonheiden;POINT (4.5163 51.0271);0 days 00:05:00;0 days 00:05:00
vlinder07;Vlinder;51.030889;4.478445;Noord;Mechelen;POINT (4.478445 51.030889);0 days 00:05:00;0 days 00:05:00
vlinder08;Vlinder;51.02813;4.477398;De Lindepoort;Mechelen;POINT (4.477398 51.02813);0 days 00:05:00;0 days 00:05:00
vlinder09;Vlinder;50.927167;4.075722;Heuvelpark;Aalst;POINT (4.075722 50.927167);0 days 00:05:00;0 days 00:05:00
vlinder10;Vlinder;50.935556;4.041389;Centrum;Aalst;POINT (4.041389 50.935556);0 days 00:05:00;0 days 00:05:00
vlinder11;Vlinder;51.222422;4.381726;Linkeroever;Antwerpen;POINT (4.381726 51.222422);0 days 00:05:00;0 days 00:05:00
vlinder12;Vlinder;51.216477;4.42344;Zoo;Antwerpen;POINT (4.42344 51.216477);0 days 00:05:00;0 days 00:05:00
vlinder13;Vlinder;51.212211;4.398065;Inst. Trop. Geneeskunde;Antwerpen;POINT (4.398065 51.212211);0 days 00:05:00;0 days 00:05:00
vlinder14;Vlinder;51.350618;4.315013;Zandvliet;Antwerpen;POINT (4.315013 51.350618);0 days 00:05:00;0 days 00:05:00
vlinder15;Vlinder;50.9353;4.1926;Koereit;Asse;POINT (4.1926 50.9353);0 days 00:05:00;0 days 00:05:00
vlinder16;Vlinder;51.26685;4.293436;Haven;Beveren;POINT (4.293436 51.26685);0 days 00:05:00;0 days 00:05:00
vlinder17;Vlinder;51.065269;5.613458;Oudsberg;Oudsbergen;POINT (5.613458 51.065269);0 days 00:05:00;0 days 00:05:00
vlinder18;Vlinder;51.136244;5.656769;Tongerlo;Bree;POINT (5.656769 51.136244);0 days 00:05:00;0 days 00:05:00
vlinder19;Vlinder;50.841455;4.363672;Koninklijk Paleis;Brussel;POINT (4.363672 50.841455);0 days 00:05:00;0 days 00:05:00
vlinder20;Vlinder;50.847025;4.357971;Kathedraal;Brussel;POINT (4.357971 50.847025);0 days 00:05:00;0 days 00:05:00
vlinder21;Vlinder;51.260389;2.991917;Golf;De Haan;POINT (2.991917 51.260389);0 days 00:05:00;0 days 00:05:00
vlinder22;Vlinder;50.989501;2.85622;De Blankaert;Diksmuide;POINT (2.85622 50.989501);0 days 00:05:00;0 days 00:05:00
vlinder23;Vlinder;51.260578;3.580151;Boerekreek;Sint-Laureins;POINT (3.580151 51.260578);0 days 00:05:00;0 days 00:05:00
vlinder24;Vlinder;51.167015;3.572062;Het Leen;Eeklo;POINT (3.572062 51.167015);0 days 00:05:00;0 days 00:05:00
vlinder25;Vlinder;51.15472;3.708611;Kluizen;Evergem;POINT (3.708611 51.15472);0 days 00:05:00;0 days 00:05:00
vlinder26;Vlinder;51.16176;4.997653;Centrum;Geel;POINT (4.997653 51.16176);0 days 00:05:00;0 days 00:05:00
vlinder27;Vlinder;51.058099;3.728067;Ottogracht;Gent;POINT (3.728067 51.058099);0 days 00:05:00;0 days 00:05:00
vlinder28;Vlinder;51.035293;3.769741;Gentbrugse Meersen;Gent;POINT (3.769741 51.035293);0 days 00:05:00;0 days 00:05:00
